Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value
336721,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),101,Financial District (CD1),Annual Average 2015,26.7
336724,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),102,Greenwich Village and Soho (CD2),Annual Average 2015,26.31
336727,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),103,Lower East Side and Chinatown (CD3),Annual Average 2015,24.3
336730,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),104,Clinton and Chelsea (CD4),Annual Average 2015,27.25
336733,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),105,Midtown (CD5),Annual Average 2015,32.91
336736,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),106,Stuyvesant Town and Turtle Bay (CD6),Annual Average 2015,29.29
336739,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),107,Upper West Side (CD7),Annual Average 2015,23.85
336742,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),108,Upper East Side (CD8),Annual Average 2015,25.77
336745,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),109,Morningside Heights and Hamilton Heights (CD9),Annual Average 2015,22.95
336748,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),110,Central Harlem (CD10),Annual Average 2015,23.25
336751,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),111,East Harlem (CD11),Annual Average 2015,22.9
336754,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),112,Washington Heights and Inwood (CD12),Annual Average 2015,20.72
336757,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),201,Mott Haven and Melrose (CD1),Annual Average 2015,21.8
336760,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),202,Hunts Point and Longwood (CD2),Annual Average 2015,20.85
336763,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),203,Morrisania and Crotona (CD3),Annual Average 2015,21.37
336766,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),204,Highbridge and Concourse (CD4),Annual Average 2015,22.44
336769,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),205,Fordham and University Heights (CD5),Annual Average 2015,22.7
336772,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),206,Belmont and East Tremont (CD6),Annual Average 2015,21.41
336775,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),207,Kingsbridge Heights and Bedford (CD7),Annual Average 2015,20.94
336778,375,17,104,2025,91,Nitrogen Dioxide (NO2),Mean,CD,Neighborhood (community district),208,Riverdale and Fieldston (CD8),Annual Average 2015,17.83
